id,name,weeklyGain,monthlyGain,threemonthGain,sixmonthGain,yearlyGain,createdAt
1,피르마체인,+20.87%,+24.45%,+67.63%,+66.85%,+9.83%,2025-01-27T19:57:33.211558
2,에스티피,+12.02%,+49.27%,+112.72%,+96.84%,+70.75%,2025-01-27T19:57:33.279399
3,맨틀,+9.97%,-5.74%,+104.40%,+69.21%,-,2025-01-27T19:57:33.335650
4,알파쿼크,+5.98%,+53.93%,+127.18%,+136.13%,+51.21%,2025-01-27T19:57:33.376395
5,주피터,+5.54%,+17.76%,+1.64%,+6.07%,-,2025-01-27T19:57:33.417623
6,체인바운티,+5.06%,+4.78%,+21.27%,+51.53%,+11.64%,2025-01-27T19:57:33.468295
7,어드벤처골드,+3.93%,-11.54%,-,-,-,2025-01-27T19:57:33.515722
8,테더,+3.00%,+3.41%,+10.91%,+10.52%,-,2025-01-27T19:57:33.559295
9,유에스디코인,+3.00%,+3.41%,+11.06%,-,-,2025-01-27T19:57:33.602066
10,하이브,+2.70%,+18.63%,+131.16%,+109.36%,+46.46%,2025-01-27T19:57:33.650925
11,트론,+2.23%,-5.18%,+58.44%,+103.22%,+137.05%,2025-01-27T19:57:33.713162
12,온도파이낸스,+1.54%,-11.68%,+92.59%,+52.08%,-,2025-01-27T19:57:33.768494
13,메타디움,+0.53%,+0.08%,+27.87%,+28.39%,-0.42%,2025-01-27T19:57:33.813822
14,디카르고,+0.53%,-2.71%,+27.11%,+21.78%,-15.45%,2025-01-27T19:57:33.856365
15,엠블,+0.12%,+0.36%,+37.29%,+16.92%,+24.40%,2025-01-27T19:57:33.898054
16,히포크랏,-0.09%,+4.97%,+31.82%,+9.22%,-10.16%,2025-01-27T19:57:33.943058
17,썬더코어,-0.26%,-2.50%,+21.62%,+12.97%,-8.64%,2025-01-27T19:57:33.990204
18,비트코인,-0.38%,+7.26%,+50.67%,+68.95%,+163.83%,2025-01-27T19:57:34.035474
19,그래비티,-0.66%,-14.75%,-9.15%,-42.72%,-,2025-01-27T19:57:34.081577
20,무비블록,-0.67%,-4.22%,+32.83%,+27.22%,-15.17%,2025-01-27T19:57:34.119817
21,이더리움클래식,-0.72%,-3.22%,+41.98%,+26.26%,+18.80%,2025-01-27T19:57:34.159552
22,쿼크체인,-0.92%,-3.47%,+23.54%,+12.86%,+14.32%,2025-01-27T19:57:34.197687
23,메탈,-0.93%,-6.01%,+27.79%,+11.43%,-16.08%,2025-01-27T19:57:34.236973
24,저스트,-1.19%,-6.36%,+34.80%,+43.11%,+35.96%,2025-01-27T19:57:34.276470
25,토카막네트워크,-1.20%,+5.45%,+71.24%,+60.98%,-4.64%,2025-01-27T19:57:34.315446
26,크로노스,-1.47%,-13.77%,+82.65%,+60.91%,+75.88%,2025-01-27T19:57:34.353766
27,카브,-1.68%,-25.93%,-9.76%,-,-,2025-01-27T19:57:34.392770
28,헌트,-2.13%,+2.12%,+30.63%,+23.70%,+7.01%,2025-01-27T19:57:34.432845
29,밀크,-2.17%,-4.09%,+25.79%,-0.08%,-15.40%,2025-01-27T19:57:34.473689
30,펀디엑스,-2.28%,-10.08%,+16.76%,+7.29%,+11.34%,2025-01-27T19:57:34.512635
31,그로스톨코인,-2.52%,+2.06%,+42.13%,+53.08%,-0.46%,2025-01-27T19:57:34.551635
32,스팀,-2.81%,-40.33%,+31.73%,+21.89%,+7.24%,2025-01-27T19:57:34.590003
33,아하토큰,-3.09%,+5.74%,+33.33%,+23.35%,-16.27%,2025-01-27T19:57:34.628862
34,룸네트워크,-3.13%,-6.21%,+14.36%,-4.23%,-30.25%,2025-01-27T19:57:34.667453
35,스타게이트파이낸스,-3.28%,-4.75%,+29.12%,+0.48%,-,2025-01-27T19:57:34.706796
36,하이파이,-3.36%,-6.25%,+11.61%,+15.74%,-0.29%,2025-01-27T19:57:34.744939
37,넴,-3.41%,-12.43%,+44.73%,+10.11%,-33.33%,2025-01-27T19:57:34.783269
38,오브스,-3.53%,-7.94%,+10.26%,+5.90%,-18.42%,2025-01-27T19:57:34.820541
39,메디블록,-3.64%,-2.18%,+26.84%,+22.34%,+0.20%,2025-01-27T19:57:34.859866
40,아크,-3.85%,-9.64%,+2.14%,+42.61%,-38.11%,2025-01-27T19:57:34.896366
41,스트라티스,-3.86%,-16.87%,+51.74%,+47.51%,-16.19%,2025-01-27T19:57:34.983756
42,온톨로지,-3.90%,-14.60%,+23.90%,+22.35%,+0.12%,2025-01-27T19:57:35.020450
43,게임빌드,-4.20%,+0.75%,+93.99%,+63.57%,+18.86%,2025-01-27T19:57:35.059272
44,이더리움,-4.23%,-7.24%,+28.33%,+4.36%,+51.85%,2025-01-27T19:57:35.096570
45,아이큐,-4.41%,-10.07%,+16.28%,+18.25%,+47.07%,2025-01-27T19:57:35.134411
46,카바,-4.42%,-11.55%,+31.40%,+13.74%,-35.42%,2025-01-27T19:57:35.177412
47,비트코인캐시,-4.71%,-8.71%,+14.72%,+6.51%,+89.22%,2025-01-27T19:57:35.213384
48,비체인,-4.79%,-7.34%,+108.72%,+79.09%,+71.26%,2025-01-27T19:57:35.253173
49,리스크,-4.85%,-11.66%,+14.00%,-3.57%,-33.52%,2025-01-27T19:57:35.290191
50,보라,-4.86%,-9.63%,+43.85%,+25.77%,-7.69%,2025-01-27T19:57:35.329052
51,스팀달러,-4.89%,+33.99%,+96.76%,+95.52%,+37.20%,2025-01-27T19:57:35.366673
52,코스모스,-5.04%,-12.66%,+36.69%,+6.10%,-33.43%,2025-01-27T19:57:35.403291
53,파워렛저,-5.06%,-14.68%,+25.26%,+25.47%,-12.46%,2025-01-27T19:57:35.442201
54,아발란체,-5.13%,-9.12%,+36.73%,+42.71%,+6.93%,2025-01-27T19:57:35.479585
55,이캐시,-5.17%,-11.08%,-5.48%,-7.85%,+12.81%,2025-01-27T19:57:35.517003
56,솔라나,-5.26%,+17.88%,+37.79%,+43.30%,+160.76%,2025-01-27T19:57:35.555119
57,코박토큰,-5.39%,+21.88%,+69.87%,+68.94%,+23.62%,2025-01-27T19:57:35.592551
58,모스코인,-5.40%,+15.14%,+65.13%,+77.39%,+19.90%,2025-01-27T19:57:35.631243
59,가스,-5.56%,-5.11%,+20.76%,+34.64%,-15.11%,2025-01-27T19:57:35.668604
60,비트토렌트,-5.75%,-8.52%,+21.05%,+23.90%,+28.07%,2025-01-27T19:57:35.705364
61,스톰엑스,-6.19%,-23.12%,+2.19%,-34.95%,-20.11%,2025-01-27T19:57:35.741043
62,무브먼트,-6.30%,-31.67%,-,-,-,2025-01-27T19:57:35.778352
63,카이버네트워크,-6.34%,-11.95%,+20.66%,+5.58%,-7.53%,2025-01-27T19:57:35.814602
