id,title,changePercent,createdAt
1,비토르토큰(VTHO/KRW),+167.74%,2025-01-27T19:57:30.855051
2,옵저버(OBSR/BTC),+100.00%,2025-01-27T19:57:30.855051
3,퀴즈톡(QTCON/BTC),+100.00%,2025-01-27T19:57:30.855051
4,랠리(RLY/BTC),+50.00%,2025-01-27T19:57:30.855051
5,피르마체인(FCT2/BTC),+25.00%,2025-01-27T19:57:30.855051
6,맨틀(MNT/BTC),+22.58%,2025-01-27T19:57:30.855051
7,히포크랏(HPO/BTC),+16.36%,2025-01-27T19:57:30.855051
8,에스티피(STPT/KRW),+15.46%,2025-01-27T19:57:30.855051
9,알파쿼크(AQT/KRW),+15.33%,2025-01-27T19:57:30.855051
10,펑션엑스(FX/BTC),+12.12%,2025-01-27T19:57:30.855051
