id,name,weeklyGain,monthlyGain,threemonthGain,sixmonthGain,yearlyGain,createdAt
1,스팀달러,+48.88%,-29.00%,+76.81%,+119.65%,+41.06%,2025-02-10T17:16:45.478346
2,에스티피,+15.37%,+3.06%,+63.94%,+95.94%,+50.44%,2025-02-10T17:16:45.478346
3,스트라이크,+13.33%,-31.85%,+34.97%,+94.07%,-2.87%,2025-02-10T17:16:45.478346
4,매직에덴,+10.95%,-38.47%,-,-,-,2025-02-10T17:16:45.478346
5,모스코인,+7.38%,-28.17%,+20.76%,+73.13%,+9.10%,2025-02-10T17:16:45.478346
6,펜들,+6.79%,-12.02%,-34.30%,+30.82%,-,2025-02-10T17:16:45.478346
7,유엑스링크,+5.90%,-43.64%,+28.63%,-,-,2025-02-10T17:16:45.478346
8,알파쿼크,+3.86%,-21.65%,+54.62%,+98.86%,+38.99%,2025-02-10T17:16:45.478346
9,쎄타퓨엘,+3.66%,-18.47%,-4.15%,+10.22%,+47.40%,2025-02-10T17:16:45.478346
10,토카막네트워크,+2.29%,-25.31%,-28.21%,+54.76%,-15.06%,2025-02-10T17:16:45.478346
11,체인바운티,+1.04%,-16.05%,-4.82%,+53.53%,+2.60%,2025-02-10T17:16:45.478346
12,트론,+0.28%,-0.83%,+34.08%,+95.31%,+113.10%,2025-02-10T17:16:45.478346
13,아하토큰,-0.67%,-34.17%,-0.68%,+21.39%,-32.28%,2025-02-10T17:16:45.478346
14,스팀,-1.12%,-35.13%,-3.68%,+17.29%,-9.81%,2025-02-10T17:16:45.478346
15,웨이브,-2.71%,-25.27%,+19.31%,+28.36%,-31.73%,2025-02-10T17:16:45.478346
16,썬더코어,-2.88%,-26.41%,-5.20%,+10.99%,-15.68%,2025-02-10T17:16:45.478346
17,유에스디코인,-2.95%,+1.20%,+6.62%,-,-,2025-02-10T17:16:45.478346
18,테더,-3.01%,+1.27%,+6.61%,+8.05%,-,2025-02-10T17:16:45.478346
19,무비블록,-3.02%,-28.13%,-9.01%,+18.23%,-27.08%,2025-02-10T17:16:45.478346
20,펀디엑스,-3.08%,-30.91%,-13.93%,+2.26%,-2.94%,2025-02-10T17:16:45.478346
21,온톨로지,-3.21%,-21.22%,-2.33%,+25.44%,-8.75%,2025-02-10T17:16:45.478346
22,코박토큰,-3.27%,-20.48%,+10.37%,+47.97%,+3.40%,2025-02-10T17:16:45.478346
23,쿼크체인,-3.53%,-24.45%,-3.39%,-17.83%,-1.47%,2025-02-10T17:16:45.478346
24,아르고,-3.56%,-36.15%,-16.69%,+4.16%,-25.56%,2025-02-10T17:16:45.478346
25,저스트,-3.68%,-15.33%,+5.78%,+33.86%,+21.41%,2025-02-10T17:16:45.478346
26,앵커,-4.15%,-35.56%,-20.91%,+2.11%,+8.85%,2025-02-10T17:16:45.478346
27,룸네트워크,-4.27%,-29.25%,-21.02%,+9.38%,-42.41%,2025-02-10T17:16:45.478346
28,스톰엑스,-4.53%,-30.45%,-21.40%,-12.92%,-27.11%,2025-02-10T17:16:45.478346
29,이오스,-4.66%,-20.25%,+17.20%,+34.76%,-3.23%,2025-02-10T17:16:45.478346
30,그로스톨코인,-4.67%,-36.01%,+6.24%,+44.78%,-14.07%,2025-02-10T17:16:45.478346
31,아이큐,-4.88%,-33.12%,-21.46%,+20.88%,+24.40%,2025-02-10T17:16:45.478346
