id,title,changePercent,createdAt
1,카바(KAVA/KRW),+19.56%,2025-02-03T16:15:06.052541
2,마스크네트워크(MASK/KRW),+16.73%,2025-02-03T16:15:06.052541
3,나폴리(NAP/BTC),+8.75%,2025-02-03T16:15:06.052541
4,트루USD(TUSD/BTC),+8.02%,2025-02-03T16:15:06.052541
5,테더(USDT/BTC),+6.55%,2025-02-03T16:15:06.052541
6,유에스디에스(USDS/BTC),+5.61%,2025-02-03T16:15:06.052541
7,히포크랏(HPO/BTC),+5.26%,2025-02-03T16:15:06.052541
8,팍스달러(USDP/BTC),+4.12%,2025-02-03T16:15:06.052541
9,퀀텀(QTUM/BTC),+3.77%,2025-02-03T16:15:06.052541
10,유에스디코인(USDC/KRW),+3.50%,2025-02-03T16:15:06.052541
