rank,name,marketcap,transactionvalue,createdAt
1,비트코인,"26,034,566 억원","733,618 억원",2025-02-25T15:14:22.334883
2,이더리움,"4,300,302 억원","431,924 억원",2025-02-25T15:14:22.334883
3,테더,"2,036,459 억원","1,618,977 억원",2025-02-25T15:14:22.334883
4,엑스알피(리플),"1,885,850 억원","118,374 억원",2025-02-25T15:14:22.334883
5,솔라나,"995,131 억원","124,031 억원",2025-02-25T15:14:22.334883
6,유에스디코인,"808,983 억원","159,185 억원",2025-02-25T15:14:22.334883
7,도지코인,"447,466 억원","34,906 억원",2025-02-25T15:14:22.334883
8,에이다,"344,285 억원","14,782 억원",2025-02-25T15:14:22.334883
9,트론,"296,021 억원","15,742 억원",2025-02-25T15:14:22.334883
10,체인링크,"136,186 억원","10,998 억원",2025-02-25T15:14:22.334883
11,스텔라루멘,"129,892 억원","4,657 억원",2025-02-25T15:14:22.334883
12,아발란체,"128,802 억원","9,640 억원",2025-02-25T15:14:22.334883
13,수이,"124,705 억원","23,719 억원",2025-02-25T15:14:22.334883
14,유에스디에스,"122,744 억원",485 억원,2025-02-25T15:14:22.334883
15,시바이누,"116,422 억원","5,383 억원",2025-02-25T15:14:22.334883
16,헤데라,"115,154 억원","11,082 억원",2025-02-25T15:14:22.334883
17,폴카닷,"97,183 억원","4,403 억원",2025-02-25T15:14:22.334883
18,비트코인캐시,"82,857 억원","6,666 억원",2025-02-25T15:14:22.334883
19,유니스왑,"67,288 억원","3,665 억원",2025-02-25T15:14:22.334883
20,니어프로토콜,"51,057 억원","3,494 억원",2025-02-25T15:14:22.334883
21,페페,"47,419 억원","12,920 억원",2025-02-25T15:14:22.334883
22,앱토스,"45,040 억원","3,497 억원",2025-02-25T15:14:22.334883
23,온도파이낸스,"44,055 억원","5,175 억원",2025-02-25T15:14:22.334883
24,에이브,"43,557 억원","5,086 억원",2025-02-25T15:14:22.334883
25,이더리움클래식,"39,942 억원","2,985 억원",2025-02-25T15:14:22.334883
26,맨틀,"38,849 억원",986 억원,2025-02-25T15:14:22.334883
27,오피셜트럼프,"37,347 억원","18,056 억원",2025-02-25T15:14:22.334883
28,폴리곤에코시스템토큰,"32,847 억원","2,581 억원",2025-02-25T15:14:22.334883
29,비체인,"32,345 억원",957 억원,2025-02-25T15:14:22.334883
30,크로노스,"29,274 억원",486 억원,2025-02-25T15:14:22.334883
31,파일코인,"27,434 억원","3,462 억원",2025-02-25T15:14:22.334883
32,알고랜드,"27,223 억원","2,062 억원",2025-02-25T15:14:22.334883
33,렌더토큰,"26,988 억원","1,439 억원",2025-02-25T15:14:22.334883
34,아비트럼,"25,437 억원","4,219 억원",2025-02-25T15:14:22.334883
