id,title,changePercent,createdAt
1,랠리(RLY/BTC),+100.00%,2025-02-20T17:41:25.127990
2,베라체인(BERA/BTC),+33.84%,2025-02-20T17:41:25.127990
3,유벤투스(JUV/BTC),+31.55%,2025-02-20T17:41:25.127990
4,바운스토큰(AUCTION/KRW),+27.00%,2025-02-20T17:41:25.127990
5,골렘(GLM/BTC),+26.55%,2025-02-20T17:41:25.127990
6,아크(ARK/BTC),+26.23%,2025-02-20T17:41:25.127990
7,오피셜트럼프(TRUMP/KRW),+23.17%,2025-02-20T17:41:25.127990
8,아이큐(IQ/BTC),+20.00%,2025-02-20T17:41:25.127990
9,스카이프로토콜(SKY/BTC),+18.18%,2025-02-20T17:41:25.127990
10,AC밀란(ACM/BTC),+16.82%,2025-02-20T17:41:25.127990
