id,rank,name,marketcap,transactionvalue,createdAt
1,1,비트코인,"27,910,642 억원","788,285 억원",2025-01-27T19:57:30.855051
2,2,이더리움,"5,245,531 억원","411,119 억원",2025-01-27T19:57:30.855051
3,3,리플,"2,276,192 억원","153,816 억원",2025-01-27T19:57:30.855051
4,4,테더,"1,992,442 억원","1,693,507 억원",2025-01-27T19:57:30.855051
5,5,솔라나,"1,548,787 억원","111,151 억원",2025-01-27T19:57:30.855051
6,6,유에스디코인,"747,360 억원","145,953 억원",2025-01-27T19:57:30.855051
7,7,도지코인,"654,442 억원","47,703 억원",2025-01-27T19:57:30.855051
8,8,에이다,"439,648 억원","15,732 억원",2025-01-27T19:57:30.855051
9,9,트론,"291,147 억원","12,078 억원",2025-01-27T19:57:30.855051
10,10,체인링크,"203,387 억원","13,607 억원",2025-01-27T19:57:30.855051
11,11,아발란체,"194,719 억원","7,739 억원",2025-01-27T19:57:30.855051
12,12,스텔라루멘,"162,298 억원","7,634 억원",2025-01-27T19:57:30.855051
13,13,헤데라,"160,640 억원","8,339 억원",2025-01-27T19:57:30.855051
14,14,수이,"152,916 억원","23,799 억원",2025-01-27T19:57:30.855051
15,15,시바이누,"148,863 억원","7,324 억원",2025-01-27T19:57:30.855051
16,16,폴카닷,"123,384 억원","4,829 억원",2025-01-27T19:57:30.855051
17,17,비트코인캐시,"112,932 억원","4,834 억원",2025-01-27T19:57:30.855051
18,18,유에스디에스,"95,803 억원",2 억원,2025-01-27T19:57:30.855051
19,19,유니스왑,"89,336 억원","4,942 억원",2025-01-27T19:57:30.855051
20,20,니어프로토콜,"74,279 억원","3,928 억원",2025-01-27T19:57:30.855051
21,21,페페,"73,962 억원","17,258 억원",2025-01-27T19:57:30.855051
22,22,에이브,"62,572 억원","6,652 억원",2025-01-27T19:57:30.855051
23,23,온도파이낸스,"57,715 억원","5,676 억원",2025-01-27T19:57:30.855051
24,24,앱토스,"57,565 억원","3,693 억원",2025-01-27T19:57:30.855051
25,25,이더리움클래식,"53,298 억원","3,602 억원",2025-01-27T19:57:30.855051
26,26,맨틀,"53,117 억원","1,964 억원",2025-01-27T19:57:30.855051
27,27,비체인,"49,114 억원","1,399 억원",2025-01-27T19:57:30.855051
28,28,크로노스,"48,059 억원",460 억원,2025-01-27T19:57:30.855051
29,29,폴리곤에코시스템토큰,"47,793 억원","3,702 억원",2025-01-27T19:57:30.855051
30,30,렌더토큰,"43,870 억원","1,816 억원",2025-01-27T19:57:30.855051
31,31,알고랜드,"41,938 억원","3,767 억원",2025-01-27T19:57:30.855051
32,32,파일코인,"39,204 억원","4,021 억원",2025-01-27T19:57:30.855051
33,33,아비트럼,"38,080 억원","4,931 억원",2025-01-27T19:57:30.855051
34,34,코스모스,"31,143 억원","3,263 억원",2025-01-27T19:57:30.855051
35,35,봉크,"26,746 억원","3,815 억원",2025-01-27T19:57:30.855051
36,36,이뮤터블엑스,"26,465 억원",721 억원,2025-01-27T19:57:30.855051
37,37,스택스,"26,151 억원","1,252 억원",2025-01-27T19:57:30.855051
38,38,인젝티브,"25,929 억원","2,089 억원",2025-01-27T19:57:30.855051
39,39,레이디움,"25,837 억원","2,695 억원",2025-01-27T19:57:30.855051
40,40,쎄타토큰,"25,146 억원",493 억원,2025-01-27T19:57:30.855051
41,41,주피터,"23,258 억원","25,134 억원",2025-01-27T19:57:30.855051
42,42,더그래프,"22,611 억원","1,320 억원",2025-01-27T19:57:30.855051
43,43,무브먼트,"22,045 억원","3,185 억원",2025-01-27T19:57:30.855051
44,44,세이,"18,960 억원","2,921 억원",2025-01-27T19:57:30.855051
45,45,샌드박스,"17,097 억원","2,268 억원",2025-01-27T19:57:30.855051
46,46,재스미코인,"17,075 억원","1,632 억원",2025-01-27T19:57:30.855051
47,47,이오스,"15,631 억원","2,549 억원",2025-01-27T19:57:30.855051
48,48,이더리움네임서비스,"15,284 억원","1,827 억원",2025-01-27T19:57:30.855051
49,49,테조스,"15,004 억원",619 억원,2025-01-27T19:57:30.855051
50,50,아이오타,"14,378 억원",868 억원,2025-01-27T19:57:30.855051
51,51,피스네트워크,"14,202 억원","1,074 억원",2025-01-27T19:57:30.855051
52,52,비트토렌트,"13,663 억원",506 억원,2025-01-27T19:57:30.855051
53,53,플로우,"13,495 억원",625 억원,2025-01-27T19:57:30.855051
54,54,비트코인에스브이,"13,326 억원",861 억원,2025-01-27T19:57:30.855051
55,55,네오,"12,775 억원",591 억원,2025-01-27T19:57:30.855051
56,56,커브,"12,506 억원","2,887 억원",2025-01-27T19:57:30.855051
57,57,디센트럴랜드,"11,606 억원","1,253 억원",2025-01-27T19:57:30.855051
58,58,엑시인피니티,"11,594 억원",651 억원,2025-01-27T19:57:30.855051
59,59,멀티버스엑스,"10,697 억원",497 억원,2025-01-27T19:57:30.855051
60,60,빔,"10,560 억원",682 억원,2025-01-27T19:57:30.855051
61,61,브렛,"10,357 억원",831 억원,2025-01-27T19:57:30.855051
62,62,에이프코인,"9,355 억원","1,648 억원",2025-01-27T19:57:30.855051
63,63,리저브라이트,"8,969 억원","1,183 억원",2025-01-27T19:57:30.855051
64,64,이캐시,"8,791 억원",567 억원,2025-01-27T19:57:30.855051
65,65,칠리즈,"8,719 억원",855 억원,2025-01-27T19:57:30.855051
66,66,아카시네트워크,"8,495 억원",199 억원,2025-01-27T19:57:30.855051
67,67,컴파운드,"8,314 억원",836 억원,2025-01-27T19:57:30.855051
68,68,웜홀,"8,115 억원",670 억원,2025-01-27T19:57:30.855051
69,69,펜들,"7,902 억원","1,419 억원",2025-01-27T19:57:30.855051
70,70,미나,"7,730 억원",501 억원,2025-01-27T19:57:30.855051
71,71,엑셀라,"7,168 억원",299 억원,2025-01-27T19:57:30.855051
72,72,트루USD,"7,075 억원",874 억원,2025-01-27T19:57:30.855051
73,73,신세틱스,"6,733 억원",476 억원,2025-01-27T19:57:30.855051
74,74,카바,"6,369 억원",428 억원,2025-01-27T19:57:30.855051
75,75,비토르토큰,"5,978 억원","2,093 억원",2025-01-27T19:57:30.855051
76,76,1인치네트워크,"5,779 억원",515 억원,2025-01-27T19:57:30.855051
77,77,라이브피어,"5,738 억원",579 억원,2025-01-27T19:57:30.855051
78,78,세이프,"5,643 억원",551 억원,2025-01-27T19:57:30.855051
79,79,크레딧코인,"5,546 억원",226 억원,2025-01-27T19:57:30.855051
80,80,쎄타퓨엘,"5,537 억원",118 억원,2025-01-27T19:57:30.855051
81,81,블러,"5,535 억원",606 억원,2025-01-27T19:57:30.855051
82,82,레이어제로,"5,488 억원",873 억원,2025-01-27T19:57:30.855051
83,83,너보스,"5,254 억원",633 억원,2025-01-27T19:57:30.855051
84,84,캣인어독스월드,"5,224 억원",646 억원,2025-01-27T19:57:30.855051
85,85,아스타,"5,200 억원",379 억원,2025-01-27T19:57:30.855051
86,86,저스트,"5,077 억원",783 억원,2025-01-27T19:57:30.855051
87,87,질리카,"4,984 억원",458 억원,2025-01-27T19:57:30.855051
88,88,제로엑스,"4,727 억원","1,052 억원",2025-01-27T19:57:30.855051
89,89,에이셔,"4,515 억원",412 억원,2025-01-27T19:57:30.855051
90,90,베이직어텐션토큰,"4,501 억원","1,008 억원",2025-01-27T19:57:30.855051
91,91,골렘,"4,435 억원",229 억원,2025-01-27T19:57:30.855051
92,92,스페이스아이디,"4,187 억원",317 억원,2025-01-27T19:57:30.855051
93,93,가스,"4,104 억원",324 억원,2025-01-27T19:57:30.855051
94,94,셀로,"4,101 억원",477 억원,2025-01-27T19:57:30.855051
95,95,아이오텍스,"4,034 억원",268 억원,2025-01-27T19:57:30.855051
96,96,퀀텀,"4,029 억원",669 억원,2025-01-27T19:57:30.855051
97,97,시아코인,"3,901 억원",473 억원,2025-01-27T19:57:30.855051
98,98,유엑스링크,"3,850 억원","2,870 억원",2025-01-27T19:57:30.855051
99,99,앵커,"3,845 억원",328 억원,2025-01-27T19:57:30.855051
100,100,모카버스,"3,739 억원",564 억원,2025-01-27T19:57:30.855051
101,101,제타체인,"3,704 억원",355 억원,2025-01-27T19:57:30.855051
102,102,엔진코인,"3,648 억원",433 억원,2025-01-27T19:57:30.855051
103,103,애니메코인,"3,635 억원","3,593 억원",2025-01-27T19:57:30.855051
104,104,레이븐코인,"3,582 억원",154 억원,2025-01-27T19:57:30.855051
105,105,바나,"3,569 억원",530 억원,2025-01-27T19:57:30.855051
106,106,드리프트,"3,512 억원","1,028 억원",2025-01-27T19:57:30.855051
107,107,엘프,"3,500 억원",231 억원,2025-01-27T19:57:30.855051
108,108,스테픈,"3,389 억원","1,542 억원",2025-01-27T19:57:30.855051
109,109,쓰레스홀드,"3,354 억원",203 억원,2025-01-27T19:57:30.855051
110,110,매직에덴,"3,228 억원",551 억원,2025-01-27T19:57:30.855051
111,111,그래비티,"3,084 억원",223 억원,2025-01-27T19:57:30.855051
112,112,마스크네트워크,"2,971 억원",727 억원,2025-01-27T19:57:30.855051
113,113,루프링,"2,931 억원",376 억원,2025-01-27T19:57:30.855051
114,114,폴리매쉬,"2,905 억원",181 억원,2025-01-27T19:57:30.855051
115,115,넴,"2,896 억원",389 억원,2025-01-27T19:57:30.855051
116,116,하이브,"2,883 억원","2,570 억원",2025-01-27T19:57:30.855051
117,117,썬,"2,810 억원",788 억원,2025-01-27T19:57:30.855051
118,118,온톨로지,"2,719 억원",586 억원,2025-01-27T19:57:30.855051
119,119,디지바이트,"2,516 억원",96 억원,2025-01-27T19:57:30.855051
120,120,알트레이어,"2,455 억원",470 억원,2025-01-27T19:57:30.855051
121,121,솔라,"2,447 억원",292 억원,2025-01-27T19:57:30.855051
122,122,웨이브,"2,399 억원",292 억원,2025-01-27T19:57:30.855051
123,123,오디우스,"2,337 억원",565 억원,2025-01-27T19:57:30.855051
124,124,스토리지,"2,320 억원",308 억원,2025-01-27T19:57:30.855051
125,125,왁스,"2,286 억원",256 억원,2025-01-27T19:57:30.855051
126,126,아이콘,"2,279 억원",116 억원,2025-01-27T19:57:30.855051
127,127,에스티피,"2,191 억원","2,953 억원",2025-01-27T19:57:30.855051
128,128,스테이터스네트워크토큰,"2,143 억원",173 억원,2025-01-27T19:57:30.855051
129,129,문빔,"2,116 억원",222 억원,2025-01-27T19:57:30.855051
130,130,리스크,"1,997 억원",484 억원,2025-01-27T19:57:30.855051
131,131,파워렛저,"1,956 억원",312 억원,2025-01-27T19:57:30.855051
132,132,보라,"1,951 억원",51 억원,2025-01-27T19:57:30.855051
133,133,블라스트,"1,937 억원",391 억원,2025-01-27T19:57:30.855051
134,134,빅타임,"1,918 억원",939 억원,2025-01-27T19:57:30.855051
135,135,시빅,"1,913 억원",222 억원,2025-01-27T19:57:30.855051
136,136,아이큐,"1,903 억원",248 억원,2025-01-27T19:57:30.855051
137,137,스트라티스,"1,840 억원",148 억원,2025-01-27T19:57:30.855051
138,138,일드길드게임즈,"1,831 억원",747 억원,2025-01-27T19:57:30.855051
139,139,타이코,"1,795 억원",276 억원,2025-01-27T19:57:30.855051
140,140,크로미아,"1,763 억원",348 억원,2025-01-27T19:57:30.855051
141,141,아이오에스티,"1,758 억원",245 억원,2025-01-27T19:57:30.855051
142,142,어드벤처골드,"1,745 억원","1,746 억원",2025-01-27T19:57:30.855051
143,143,아이젝,"1,728 억원",195 억원,2025-01-27T19:57:30.855051
144,144,엠블,"1,721 억원",434 억원,2025-01-27T19:57:30.855051
145,145,카브,"1,699 억원",139 억원,2025-01-27T19:57:30.855051
146,146,온톨로지가스,"1,687 억원",117 억원,2025-01-27T19:57:30.855051
147,147,옴니네트워크,"1,684 억원",356 억원,2025-01-27T19:57:30.855051
148,148,디카르고,"1,674 억원",76 억원,2025-01-27T19:57:30.855051
149,149,액세스프로토콜,"1,651 억원",52 억원,2025-01-27T19:57:30.855051
150,150,펀디엑스,"1,548 억원",156 억원,2025-01-27T19:57:30.855051
151,151,카르테시,"1,498 억원",227 억원,2025-01-27T19:57:30.855051
152,152,밀크,"1,490 억원",66 억원,2025-01-27T19:57:30.855051
153,153,덴트,"1,463 억원",191 억원,2025-01-27T19:57:30.855051
154,154,오브스,"1,454 억원",115 억원,2025-01-27T19:57:30.855051
155,155,스팀,"1,431 억원",792 억원,2025-01-27T19:57:30.855051
156,156,오키드,"1,420 억원",143 억원,2025-01-27T19:57:30.855051
157,157,에이피아이쓰리,"1,415 억원",223 억원,2025-01-27T19:57:30.855051
158,158,메디블록,"1,409 억원",40 억원,2025-01-27T19:57:30.855051
159,159,오아시스,"1,406 억원",23 억원,2025-01-27T19:57:30.855051
160,160,게임빌드,"1,363 억원",330 억원,2025-01-27T19:57:30.855051
161,161,뉴메레르,"1,324 억원",178 억원,2025-01-27T19:57:30.855051
162,162,매직,"1,313 억원",430 억원,2025-01-27T19:57:30.855051
163,163,메탈,"1,313 억원",110 억원,2025-01-27T19:57:30.855051
164,164,카이버네트워크,"1,304 억원",182 억원,2025-01-27T19:57:30.855051
165,165,아크,"1,286 억원",486 억원,2025-01-27T19:57:30.855051
166,166,프롬,"1,250 억원",106 억원,2025-01-27T19:57:30.855051
167,167,코박토큰,"1,166 억원",360 억원,2025-01-27T19:57:30.855051
168,168,토카막네트워크,"1,148 억원",397 억원,2025-01-27T19:57:30.855051
169,169,아더,"1,144 억원",172 억원,2025-01-27T19:57:30.855051
170,170,팍스달러,"1,144 억원",10 억원,2025-01-27T19:57:30.855051
171,171,사이버,"1,114 억원",271 억원,2025-01-27T19:57:30.855051
172,172,바운스토큰,"1,092 억원",470 억원,2025-01-27T19:57:30.855051
173,173,뱅코르,"1,053 억원",85 억원,2025-01-27T19:57:30.855051
174,174,하이파이,"1,040 억원",203 억원,2025-01-27T19:57:30.855051
175,175,룸네트워크,"1,015 억원",173 억원,2025-01-27T19:57:30.855051
176,176,스팀달러,991 억원,"4,133 억원",2025-01-27T19:57:30.855051
177,177,쿼크체인,974 억원,345 억원,2025-01-27T19:57:30.855051
178,178,히포크랏,951 억원,106 억원,2025-01-27T19:57:30.855051
179,179,폴리스웜,948 억원,170 억원,2025-01-27T19:57:30.855051
180,180,스타게이트파이낸스,947 억원,621 억원,2025-01-27T19:57:30.855051
181,181,스톰엑스,872 억원,161 억원,2025-01-27T19:57:30.855051
182,182,오리진프로토콜,868 억원,459 억원,2025-01-27T19:57:30.855051
183,183,엔케이엔,865 억원,157 억원,2025-01-27T19:57:30.855051
184,184,펑션엑스,859 억원,66 억원,2025-01-27T19:57:30.855051
185,185,무비블록,855 억원,130 억원,2025-01-27T19:57:30.855051
186,186,스트라이크,843 억원,275 억원,2025-01-27T19:57:30.855051
187,187,알파,834 억원,424 억원,2025-01-27T19:57:30.855051
188,188,메타디움,805 억원,105 억원,2025-01-27T19:57:30.855051
189,189,피르마체인,776 억원,"2,994 억원",2025-01-27T19:57:30.855051
